Attained_Age,Policies_Exposed,Amount_Exposed,Death_Count,Death_Claim_Amount,Exp_Count,Exp_Amount,qx_Crude_Count,qx_Crude_Amount,AE_Count,AE_Amount,AE_Count_CI_Lo,AE_Count_CI_Hi,Credibility_Count,AE_Amount_CI_Lo,AE_Amount_CI_Hi,Credibility_Amount
76,241358.6493759635,1370304464.770997,5823,31771314,6599.7585702090655,38247766.46065282,0.024125922211843065,0.023185587449216675,0.8823050022291256,0.8306710937666011,0.8596432525814929,0.9049667518767582,1.0,0.8303822522607426,0.8309599352724596,1.0
77,219584.44252906973,1223253760.8103886,5783,32204711,6673.894510932398,37944260.30745297,0.026336109850926333,0.026327089302112448,0.8665105495040357,0.8487373515533886,0.8441776377761826,0.8888434612318888,1.0,0.8484442205847573,0.8490304825220198,1.0
78,201470.90004964173,1098288085.4130673,5970,32217863,6798.165994213043,37802087.17038061,0.029632070927012352,0.02933461942080782,0.8781780269975724,0.8522773585169641,0.8559017047454229,0.9004543492497219,1.0,0.8519830650122477,0.8525716520216804,1.0
79,188045.4564783445,994794717.3414669,6378,33707895,7055.163014020545,38040953.788983166,0.03391733105093393,0.03388427221455544,0.9040187997534803,0.8860948962263391,0.8818325807521553,0.9262050187548053,1.0,0.8857957644775927,0.8863940279750855,1.0
80,177893.26399294846,911640956.5081793,6784,34861196,7437.170890370908,38815634.1175303,0.038135226976716285,0.03824005026444555,0.9121748175483524,0.8981225424385284,0.8904686450567606,0.9338809900399442,1.0,0.8978244077246772,0.8984206771523796,1.0
81,170095.62531710276,839822408.2930743,7285,35635354,7961.9259831335075,39996530.59926801,0.042828849868530444,0.042432011396824114,0.9149796186792614,0.8909611275297006,0.8939687149351103,0.9359905224234124,1.0,0.8906686002930865,0.8912536547663147,1.0
82,163175.8246621061,770970937.7728244,7756,38198368,8549.215692315804,41044016.97842105,0.047531550804542404,0.04954579495609417,0.9072177237230357,0.9306683607523808,0.8870275192609534,0.927407928185118,1.0,0.9303732258059562,0.9309634956988054,1.0
83,156553.4615738648,708439751.1883988,8546,39874769,9244.241821730524,42469660.173836716,0.054588380953606956,0.056285335391062646,0.924467378158676,0.938900119209447,0.90486728039802,0.9440674759193319,1.0,0.9386086998527582,0.9391915385661359,1.0
84,149213.28681376996,642897983.2401644,9219,41695544,9948.34498036855,43475318.93277816,0.06178404213765524,0.06485561486731868,0.9266868024975214,0.9590624065224213,0.9077703731987141,0.9456032317963288,1.0,0.958771301206263,0.9593535118385795,1.0
85,134009.56233982812,563401462.0683143,9377,39810752,10129.12172519644,43106977.761407316,0.06997261864210359,0.0706614282715028,0.9257466001888871,0.9235338236966742,0.9070092463221996,0.9444839540555746,1.0,0.9232469434100173,0.9238207039833312,1.0
86,124145.76237484533,502950946.3255683,9604,38756825,10634.935120749054,43577093.20869668,0.07736067519567613,0.0770588568987642,0.9030614565068976,0.889385274377716,0.8850005592560833,0.9211223537577119,1.0,0.8891052705749701,0.8896652781804618,1.0
87,113551.01303681755,444256221.59571326,9940,40030446,11010.394405528554,43560221.94073435,0.08753774831385322,0.09010666379913736,0.9027832822236517,0.9189679073367264,0.8850357322793175,0.9205308321679858,1.0,0.9186832297853701,0.9192525848880827,1.0
88,100603.2966063004,376049484.2716527,9623,36726386,11015.192285028083,41608465.855045766,0.09565292912476338,0.09766370527307888,0.8736116221120934,0.8826661893266193,0.8561569678362655,0.8910662763879214,1.0,0.8823807226066465,0.8829516560465922,1.0
89,86640.15863553458,309501669.851414,9180,34090210,10646.663946817629,38424547.36338507,0.10595548466868707,0.11014548004334217,0.8622419234659862,0.8871987398473488,0.8446036575618484,0.8798801893701239,1.0,0.8869009196349452,0.8874965600597523,1.0
90,72409.59085623035,248212015.95684665,8598,30666940,9920.186295088846,34339103.81622241,0.11874117638741223,0.12355139166724168,0.8667175942307236,0.8930617457032292,0.8483975303624434,0.8850376580990038,1.0,0.8927456676396386,0.8933778237668197,1.0
91,59789.64727402851,196866944.88816917,7700,25723394,9056.162658689544,30085937.753329556,0.12878483736004132,0.13066385529887836,0.8502497459684779,0.8549972485784738,0.8312586845077965,0.8692408074291593,1.0,0.8546668420094047,0.8553276551475429,1.0
92,48293.591680882964,153715863.489609,6804,23172621,8017.6574230431,25702396.174834978,0.14088825790717416,0.1507497045128751,0.8486269294126991,0.9015743451456149,0.8284626481016631,0.8687912107237351,1.0,0.9012072640182477,0.901941426272982,1.0
93,38034.14999720617,115702637.9425107,5712,19049244,6866.554425668204,21010910.534863133,0.15018082434915936,0.16463966888520745,0.8318582575633119,0.9066358151585975,0.8102856161932738,0.85343089893335,1.0,0.9062286767358664,0.9070429535813286,1.0
