Sex_Clean,Attained_Age_Group,Policies_Exposed,Amount_Exposed,Death_Count,Death_Claim_Amount,Exp_Count,Exp_Amount,qx_Crude_Count,qx_Crude_Amount,AE_Count,AE_Amount,AE_Count_CI_Lo,AE_Count_CI_Hi,Credibility_Count,AE_Amount_CI_Lo,AE_Amount_CI_Hi,Credibility_Amount
F,65–69,692253.5930341631,3566407983.3312144,5320,26337887,6179.028674910258,31575839.019698672,0.0076850449799506565,0.007384989917894647,0.8609767456820009,0.8341151911614776,0.8378409896207226,0.8841125017432792,1.0,0.8337966367257824,0.8344337455971728,1.0
F,70–74,480507.9806939394,2065522093.8397439,5758,22447629,7117.718988684606,30325059.708012324,0.011983151646481333,0.01086777481923252,0.8089670313135121,0.7402336290889151,0.7880719972507185,0.8298620653763057,1.0,0.7399274104199745,0.7405398477578558,1.0
F,75–79,329349.1347312867,1258748298.4569159,6990,24788554,8223.837351531445,31185869.307490848,0.021223678045193848,0.019693018874693206,0.8499681719384102,0.7948649356407643,0.830042537126691,0.8698938067501295,1.0,0.7945520282412419,0.7951778430402867,1.0
F,80–84,242443.25913578412,815259976.1727377,9909,34458681,10766.874310676925,35780666.45536751,0.04087141888506915,0.04226710743457235,0.9203228080942472,0.9630530790415393,0.9022021752049104,0.9384434409835839,1.0,0.9627315286888283,0.9633746293942502,1.0
F,85–89,152582.9567044254,463791352.75653356,11250,35163263,12200.625997617288,36749907.25489941,0.07373038406768345,0.07581698708052216,0.9220838342390841,0.956825897711949,0.905044907409178,0.9391227610689903,1.0,0.9565096434200225,0.9571421520038755,1.0
F,90–94,63320.5913345539,169886993.88222384,7999,21859527,8513.945619700447,22703396.670814186,0.1263254153413909,0.1286709859328865,0.9395173938498136,0.9628306863924462,0.9189284026733214,0.9601063850263057,1.0,0.9624270617864713,0.963234310998421,1.0
M,0–4,626379.4811630312,59870782481.40319,77,5738814,65.65021532544536,6346419.8196278,0.00012292867553233085,9.585333216218723e-05,1.1728826724831103,0.9042600652184031,0.9109092108630366,1.434856134103184,0.26676677110607044,0.9035202378927663,0.9049998925440399,1.0
M,5–9,1473037.7444255436,131327087655.78113,88,7855490,120.3128328769687,10734419.09316588,5.974049228067697e-05,5.9816220249929485e-05,0.7314265477398272,0.7318039226734901,0.5786075052163459,0.8842455902633085,0.2851856741871034,0.7312921746381096,0.7323156707088707,1.0
M,10–14,1904546.6514666253,156449396176.43118,249,12125169,247.58093644166442,19510931.83824249,0.0001307397746378403,7.750217831666285e-05,1.0057317157723489,0.6214551463008039,0.8808121219912991,1.1306513095533985,0.4797180317837597,0.6211053509929566,0.6218049416086512,1.0
M,15–19,2180688.4721615757,159379794366.82495,1270,63799674,1299.6562451448806,92162485.2376012,0.0005823848826701647,0.0004002996380655386,0.9771814699035477,0.6922521005756308,0.9234385258549427,1.0309244139521527,1.0,0.6920822358728826,0.692421965278379,1.0
