Attained_Age,Deaths,Expected,Exposure,qx_Crude,AE_Ratio
71,5250,5691.833576214023,359794.76476287213,0.014591652003219355,0.922374122451431
72,5196,5780.94085616048,327897.7586201667,0.01584640292103671,0.8988156304112443
73,5342,5869.634769432287,298063.5501544187,0.017922352455482914,0.910107734099558
74,5381,6120.469681185368,278148.32719947887,0.01934579313914379,0.8791808930189565
75,5741,6401.216841027279,260589.56394737447,0.022030813180068037,0.8968607286046373
76,5823,6599.7585702090655,241358.6493759635,0.024125922211843065,0.8823050022291256
77,5783,6673.894510932398,219584.44252906973,0.026336109850926333,0.8665105495040357
78,5970,6798.165994213043,201470.90004964173,0.029632070927012352,0.8781780269975724
79,6378,7055.163014020545,188045.4564783445,0.03391733105093393,0.9040187997534803
80,6784,7437.170890370908,177893.26399294846,0.038135226976716285,0.9121748175483524
81,7285,7961.9259831335075,170095.62531710276,0.042828849868530444,0.9149796186792614
82,7756,8549.215692315804,163175.8246621061,0.047531550804542404,0.9072177237230357
83,8546,9244.241821730524,156553.4615738648,0.054588380953606956,0.924467378158676
84,9219,9948.34498036855,149213.28681376996,0.06178404213765524,0.9266868024975214
85,9377,10129.12172519644,134009.56233982812,0.06997261864210359,0.9257466001888871
86,9604,10634.935120749054,124145.76237484533,0.07736067519567613,0.9030614565068976
87,9940,11010.394405528554,113551.01303681755,0.08753774831385322,0.9027832822236517
88,9623,11015.192285028083,100603.2966063004,0.09565292912476338,0.8736116221120934
89,9180,10646.663946817629,86640.15863553458,0.10595548466868707,0.8622419234659862
90,8598,9920.186295088846,72409.59085623035,0.11874117638741223,0.8667175942307236
91,7700,9056.162658689544,59789.64727402851,0.12878483736004132,0.8502497459684779
92,6804,8017.6574230431,48293.591680882964,0.14088825790717416,0.8486269294126991
93,5712,6866.554425668204,38034.14999720617,0.15018082434915936,0.8318582575633119
94,4727,5762.577130395512,29663.982817738317,0.15935149467432178,0.8202927081126227
