Age_Ind,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag,Segment_Type,Sex,Insurance_Plan,Insurance_Plan_Group,Face_Amount_Band,Face_Band_Group,Issue_Age_Band,Attained_Age_Band,Duration_Band
,5864,3604.3611974478067,210339049,144843539.8033021,4926812.179617099,4978.093806326292,1.177960928045967,1.6269179693067968,1.3811306729889348,1.4521810864719336,1.1902219500593458,0.731580800331611,1.0104086831077816,0.17796092804596708,Review,Attained_Age_Band,,,,,,,"[30, 35)",
,2683,2599.19456487101,347990161,339168471.0857641,5033675.41779956,2292.000695590162,1.1705930129786284,1.0322428479428392,0.8818118991811247,1.0260097581770953,0.5330101322212104,0.5163611772980053,0.45533343041655555,0.1705930129786284,Review,Face_Amount_Band,,,,"05: 100,000 - 249,999",,,,
,7181,5253.500174666174,193701310,158932561.72013074,4719899.649384318,6505.753604878477,1.1037921870596474,1.366898212857927,1.2383655446041506,1.2187641594873089,1.5214306518014038,1.1130533623424517,1.3783669332306911,0.10379218705964743,Review,Attained_Age_Band,,,,,,,"[35, 40)",
,0,0.0,0,0.0,0.0,0.0,,,,,,,,,Thin,Attained_Age_Band,,,,,,,"[95, 100)",
,42,42.16416029648807,42000000,42164160.29648807,130954.77308386238,38.57519831823703,1.0887824776300332,0.9961066390191637,0.9148812177684948,0.9961066390191639,0.3207214140495936,0.32197497886912824,0.2945688607587735,0.08878247763003322,OK,Face_Amount_Band,,,,"08: 1,000,000+",,,,
,42,42.16416029648807,42000000,42164160.29648807,130954.77308386238,38.57519831823703,1.0887824776300332,0.9961066390191637,0.9148812177684948,0.9961066390191639,0.3207214140495936,0.32197497886912824,0.2945688607587735,0.08878247763003322,OK,Face_Band_Group,,,,,08+: 1M+,,,
,8374,6702.693639974517,167252767,148301137.89359003,4315572.922486945,7953.829439018762,1.0528261970164994,1.2493484634383254,1.1866616417588498,1.1277915286126008,1.940414436369736,1.553141091661114,1.8430529577137096,0.05282619701649938,OK,Attained_Age_Band,,,,,,,"[40, 45)",
ALB,86120,68411.63392326763,1021675965,799799336.8327128,34278694.59514445,82224.70955076064,1.0473737209960545,1.258850213935755,1.201911207719233,1.2774153690173604,2.51234771385369,1.99574793413977,2.398711809825095,0.047373720996054525,OK,Age_Ind,,,,,,,,
,11850,8004.549488208365,150778987,113066224.6150949,4187025.7720044223,11354.187801622204,1.0436677820589648,1.4804081125935236,1.4184668129478426,1.3335457826887611,2.830171258852114,1.9117507089946593,2.711754935338433,0.04366778205896482,OK,Attained_Age_Band,,,,,,,"[45, 50)",
,89,112.18395646734565,54040127,66489816.60824397,349028.852375943,92.91995183183242,0.9578136691361313,0.7933398215092012,0.8282820000102192,0.8127579493624238,0.2549932459570336,0.32141742925742717,0.26622427114348496,0.04218633086386869,OK,Face_Amount_Band,,,,"07: 500,000 - 999,999",,,,
,48234,47427.77465486609,475152870,423275330.8124711,19482928.262586508,46338.73252942417,1.040900287235357,1.0169990127304274,0.9770378826886371,1.122562160870445,2.4757058769561247,2.4343247593814055,2.3784275086825346,0.04090028723535699,OK,Issue_Age_Band,,,,,,1-5,,
,53304,53559.88008364943,465386813,450521949.9645284,11359633.741382066,51471.31430443308,1.0356059626674246,0.9952225418867668,0.9610050325737391,1.0329947587162889,4.692404809304599,4.714930190797954,4.531071641590694,0.03560596266742455,OK,Issue_Age_Band,,,,,,6-10,,
,85668,87033.88861016692,662914354,636980783.920792,29406841.947654385,82880.19649447904,1.0336365455613594,0.9843062440162261,0.9522750025074409,1.0407132691187004,2.913199593227087,2.9596475801478954,2.8183984068064785,0.03363654556135942,OK,Sex,F,,,,,,,
,17091,10800.37023490259,142302578,97460657.70558864,4195361.730240225,16611.799767134387,1.0288469786286303,1.5824457521621385,1.5380768812398227,1.46010278762812,4.073784598073591,2.5743597166016396,3.959563164100084,0.028846978628630282,OK,Attained_Age_Band,,,,,,,"[50, 55)",
,23608,16639.467985978,162388179,117836934.87258358,4283454.105667574,23090.594091810843,1.022407648158895,1.4187953617203595,1.3877002624885106,1.3780753816754434,5.51143993086409,3.8845911676657843,5.390648183030359,0.022407648158895066,OK,Attained_Age_Band,,,,,,,"[55, 60)",
