Age_Ind,Sex,Issue_Age_Band,Series_Key,x_col,x_value,Overall_Direction,Credible_Points,ExpDth_VBT2015_Cnt,Predicted_Rate_per_1000,Actual_Rate_per_1000,Expected_Rate_per_1000,Delta_from_Prior,Monotonicity_Flag
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,25,Up,92,90.22857456375185,1.1913904743543553,1.510513346799362,0.8626042160837252,0.006649908616732203,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,26,Up,92,88.45810193219675,1.198750890446391,1.3168521212541926,0.8565164644965655,0.007360416092035749,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,27,Up,92,85.9549851206152,1.216168915719441,1.4074961184064942,0.8580234603897438,0.01741802527305003,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,28,Up,92,83.09135974000604,1.2511234997387595,1.7106097600879728,0.8720054659523631,0.03495458401931839,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,29,Up,92,81.9058787087972,1.3158535043445958,1.5610095679741693,0.9067791513316612,0.06473000460583633,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,30,Up,92,83.00038457124559,1.4053416248339512,1.6052911733325361,0.9585596024131408,0.0894881204893554,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,31,Up,92,83.81085547257406,1.5199732237375017,1.8260597262143397,1.0271384415975717,0.11463159890355046,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,32,Up,92,84.57773193393108,1.6556411178722243,1.9021167541002846,1.1094946271402273,0.1356678941347227,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,33,Up,92,85.33220086954269,1.8033723888709203,2.3191443802557106,1.1993799642512204,0.14773127099869598,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,34,Up,92,86.80033586896933,1.9604854538835268,2.014173857198976,1.2950442022471744,0.15711306501260647,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,35,Up,92,90.04321177954306,2.1309143561309956,2.408831642973458,1.3993479856098308,0.17042890224746876,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,36,Up,92,95.58679725388309,2.3125870916963276,2.544938407958952,1.510947277175108,0.18167273556533203,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,37,Up,92,100.18365858637297,2.503088712433436,2.4873130292316747,1.6286805184181912,0.1905016207371082,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,38,Up,92,103.56198699851437,2.6911345328058385,2.309348613974394,1.7456987674120683,0.1880458203724027,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,39,Up,92,108.22936550419534,2.8679597548348275,2.6936725330913966,1.8569074467042068,0.17682522202898898,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,40,Up,92,113.96507740252264,3.028026306096511,2.8366848801518008,1.9592909814125192,0.16006655126168345,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,41,Up,92,120.16824910047124,3.1547802949850237,2.6857301666985287,2.042655010686576,0.12675398888851275,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,42,Up,92,123.04340631881949,3.2516017277791387,3.0005365922492815,2.1096928176835106,0.09682143279411504,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,43,Up,92,125.09660177479508,3.3246934925636666,2.92448490389666,2.16475220958083,0.07309176478452795,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,44,Up,92,127.53350571152532,3.396487584352603,3.6423111071313725,2.222567963562158,0.07179409178893614,OK
